"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","32.74","32.00","33.00","31.66","27.61M","2.25%"
"02/02/2023","31.72","32.91","32.94","31.42","39.84M","-3.12%"
"02/03/2023","30.32","30.84","31.11","30.21","35.46M","-4.41%"
"02/06/2023","30.21","30.27","30.42","30.02","19.97M","-0.36%"
"02/07/2023","30.63","30.29","31.00","30.14","24.79M","1.39%"
"02/08/2023","30.37","30.78","30.78","30.29","12.45M","-0.85%"
"02/09/2023","29.76","30.70","30.91","29.59","22.28M","-2.01%"
"02/10/2023","29.62","29.81","29.95","29.36","16.42M","-0.47%"
"02/13/2023","29.58","29.52","29.80","29.32","12.36M","-0.14%"
"02/14/2023","29.64","29.34","29.84","29.10","17.61M","0.20%"
"02/15/2023","28.79","28.96","28.96","28.51","22.89M","-2.87%"
"02/16/2023","28.67","28.48","28.95","28.14","19.61M","-0.42%"
"02/17/2023","28.41","28.29","28.47","27.78","23.33M","-0.91%"
"02/21/2023","28.11","28.27","28.56","27.95","16.10M","-1.06%"
"02/22/2023","27.45","27.89","27.96","27.25","21.11M","-2.35%"
"02/23/2023","27.31","27.49","27.63","27.13","15.69M","-0.51%"
"02/24/2023","26.99","26.88","27.05","26.64","20.02M","-1.17%"
"02/27/2023","27.20","27.12","27.32","26.95","15.40M","0.78%"
"02/28/2023","27.51","27.22","27.69","26.95","25.66M","1.14%"
"03/01/2023","28.11","27.80","28.34","27.72","36.70M","2.18%"
"03/02/2023","28.17","28.00","28.21","27.84","14.68M","0.21%"
"03/03/2023","28.63","28.51","28.64","28.19","15.77M","1.63%"
"03/06/2023","28.08","28.35","28.49","27.90","16.15M","-1.92%"
"03/07/2023","26.89","27.72","27.80","26.73","34.51M","-4.24%"
"03/08/2023","26.81","26.92","27.37","26.68","23.26M","-0.30%"
"03/09/2023","26.68","27.06","27.33","26.58","20.88M","-0.48%"
"03/10/2023","27.20","27.30","27.95","27.15","35.75M","1.95%"
"03/13/2023","29.10","28.50","29.28","28.34","56.71M","6.99%"
"03/14/2023","29.33","29.03","29.48","28.75","23.98M","0.79%"
"03/15/2023","29.33","29.83","29.83","28.94","34.83M","0.00%"
"03/16/2023","29.16","29.45","29.50","28.50","31.41M","-0.58%"
"03/17/2023","30.58","29.74","31.02","29.36","63.72M","4.87%"
