"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2025","51.25","52.27","53.58","50.44","13.25M","-2.27%"
"02/06/2025","52.44","52.20","52.78","51.93","8.15M","1.39%"
"02/05/2025","51.72","50.22","51.78","49.89","6.15M","2.25%"
"02/04/2025","50.58","50.68","51.33","50.17","5.66M","0.64%"
"02/03/2025","50.26","50.65","51.46","49.80","8.08M","-3.97%"
"01/31/2025","52.34","53.04","53.73","51.95","6.40M","-1.75%"
"01/30/2025","53.27","53.57","53.68","51.81","8.39M","-0.93%"
"01/29/2025","53.77","54.04","54.49","53.10","5.51M","-0.19%"
"01/28/2025","53.87","54.11","54.60","52.80","10.46M","-0.13%"
"01/27/2025","53.94","54.89","56.28","53.47","12.67M","-1.03%"
"01/24/2025","54.50","55.58","55.74","54.02","9.24M","-3.13%"
"01/23/2025","56.26","55.05","56.30","54.66","9.15M","0.41%"
"01/22/2025","56.03","55.00","56.63","55.00","8.09M","0.76%"
"01/21/2025","55.61","55.10","56.11","54.87","6.34M","1.79%"
"01/17/2025","54.63","54.58","55.08","54.37","7.30M","2.09%"
"01/16/2025","53.51","55.20","55.48","53.46","8.66M","-3.11%"
"01/15/2025","55.23","56.72","56.75","55.14","7.97M","0.09%"
"01/14/2025","55.18","55.27","56.46","54.51","6.35M","-1.24%"
"01/13/2025","55.87","53.20","56.45","53.10","12.20M","3.58%"
"01/10/2025","53.94","56.38","56.60","53.60","17.56M","-7.49%"
"01/08/2025","58.31","62.41","62.59","57.96","14.87M","-7.05%"
"01/07/2025","62.73","64.78","65.25","62.32","9.31M","-2.76%"
"01/06/2025","64.51","64.38","67.00","64.33","7.37M","0.94%"
"01/03/2025","63.91","61.95","64.47","61.58","6.96M","3.57%"
"01/02/2025","61.71","63.81","64.09","61.66","7.39M","-2.13%"
"12/31/2024","63.05","63.79","64.26","62.78","4.30M","-0.65%"
"12/30/2024","63.46","65.18","65.31","63.26","7.23M","-3.86%"
"12/27/2024","66.01","66.70","67.05","65.48","4.75M","-1.51%"
"12/26/2024","67.02","67.05","67.95","66.99","3.66M","-1.30%"
"12/24/2024","67.90","66.63","67.92","66.42","3.04M","1.91%"
