Date,Price,Open,High,Low,Vol.,Change %
02/07/2023,"14,390","14,360","14,500","14,060",214.20K,0.28%
02/08/2023,"14,620","14,390","14,620","14,370",93.52K,1.60%
02/09/2023,"14,570","14,650","14,660","14,540",146.28K,-0.34%
02/12/2023,"14,610","14,450","14,620","14,320",105.92K,0.27%
02/13/2023,"14,400","14,680","14,680","14,400",171.63K,-1.44%
02/14/2023,"14,360","14,400","14,400","14,160",178.44K,-0.28%
02/15/2023,"14,450","14,250","14,590","14,250",91.82K,0.63%
02/16/2023,"14,520","14,450","14,580","14,120",242.10K,0.48%
02/19/2023,"14,460","14,450","14,490","14,270",21.53K,-0.41%
02/20/2023,"14,490","14,450","14,490","14,370",30.32K,0.21%
02/21/2023,"14,800","14,450","14,820","14,450",110.73K,2.14%
02/22/2023,"14,970","14,920","15,100","14,910",206.20K,1.15%
02/23/2023,"15,070","14,980","15,090","14,900",356.86K,0.67%
02/26/2023,"14,850","14,920","14,940","14,780",41.24K,-1.46%
02/27/2023,"14,870","14,850","14,970","14,830",175.24K,0.13%
02/28/2023,"14,940","15,590","15,590","14,630",362.28K,0.47%
03/01/2023,"14,810","14,880","14,880","14,510",147.34K,-0.87%
03/02/2023,"14,740","14,680","14,800","14,520",170.86K,-0.47%
03/05/2023,"14,530","14,710","14,780","14,470",34.92K,-1.42%
03/06/2023,"14,440","14,530","14,640","14,400",170.19K,-0.62%
03/08/2023,"14,650","14,470","14,670","14,440",188.58K,1.45%
03/09/2023,"14,780","14,800","15,040","14,750",218.84K,0.89%
03/12/2023,"15,080","14,820","15,120","14,820",76.67K,2.03%
03/13/2023,"14,890","15,030","15,280","14,830",199.76K,-1.26%
03/14/2023,"14,820","14,890","15,120","14,730",187.76K,-0.47%
03/15/2023,"14,880","14,900","15,080","14,710",181.04K,0.40%
03/16/2023,"15,060","14,740","15,060","14,740",376.34K,1.21%
03/19/2023,"14,620","14,700","14,820","14,620",34.16K,-2.92%
03/20/2023,"14,730","14,730","14,890","14,670",164.39K,0.75%
03/21/2023,"14,930","14,650","15,000","14,650",148.73K,1.36%
03/22/2023,"14,890","14,930","16,300","14,880",677.54K,-0.27%
03/23/2023,"14,820","15,000","15,160","14,810",180.99K,-0.47%
03/26/2023,"14,800","14,800","14,930","14,670",41.98K,-0.13%
03/27/2023,"14,890","15,000","15,030","14,780",232.48K,0.61%
03/28/2023,"14,680","14,750","14,790","14,610",110.99K,-1.41%
03/29/2023,"15,000","14,800","15,000","14,650",109.35K,2.18%
03/30/2023,"15,300","15,130","15,400","15,010",384.73K,2.00%
04/02/2023,"15,200","15,210","15,350","15,200",24.66K,-0.65%
04/03/2023,"15,160","15,200","15,320","15,130",82.85K,-0.26%
04/04/2023,"15,220","15,160","15,310","15,160",125.77K,0.40%
04/09/2023,"15,290","15,290","15,310","15,230",22.63K,0.46%
04/10/2023,"15,160","15,190","15,270","15,150",13.02K,-0.85%
04/13/2023,"16,110","16,060","16,190","15,980",195.75K,6.27%
04/16/2023,"16,560","16,620","16,720","16,520",33.64K,2.79%
04/17/2023,"16,470","16,550","16,550","16,300",94.59K,-0.54%
04/18/2023,"16,350","16,410","16,490","16,230",88.45K,-0.73%
04/19/2023,"16,250","16,290","16,300","16,100",81.33K,-0.61%
04/20/2023,"16,340","16,300","16,550","16,250",147.52K,0.55%
04/23/2023,"16,550","16,300","16,550","16,250",45.66K,1.29%
04/24/2023,"16,450","16,420","16,870","16,420",223.38K,-0.60%
04/27/2023,"15,960","16,200","16,360","15,920",416.47K,-2.98%
04/30/2023,"16,580","16,320","16,590","16,260",41.72K,3.88%
05/01/2023,"16,280","16,570","16,570","16,280",105.62K,-1.81%
05/02/2023,"16,260","16,280","16,480","16,200",159.96K,-0.12%
05/03/2023,"16,290","16,270","16,340","16,130",76.41K,0.18%
05/04/2023,"16,070","16,450","16,450","16,070",268.85K,-1.35%
05/07/2023,"15,740","15,880","15,880","15,720",43.30K,-2.05%
05/08/2023,"15,580","15,700","15,900","15,580",87.95K,-1.02%
05/09/2023,"15,530","15,540","15,660","14,900",200.61K,-0.32%
05/10/2023,"15,170","15,400","15,610","15,080",190.68K,-2.32%
05/11/2023,"15,220","15,300","15,460","15,150",295.89K,0.33%
05/14/2023,"15,030","14,890","15,050","14,880",64.23K,-1.25%
05/15/2023,"15,050","15,040","15,180","14,850",273.03K,0.13%
05/16/2023,"14,730","15,050","15,130","14,640",145.42K,-2.13%
05/17/2023,"14,750","14,820","15,150","14,600",360.42K,0.14%
05/18/2023,"14,910","14,850","14,990","14,810",293.58K,1.08%
05/21/2023,"15,410","15,050","15,410","15,050",60.67K,3.35%
05/22/2023,"15,060","15,410","15,450","15,050",353.60K,-2.27%
05/23/2023,"14,990","14,960","15,080","14,850",176.05K,-0.46%
05/24/2023,"14,190","14,990","15,140","14,000",551.24K,-5.34%
05/28/2023,"14,980","14,500","15,000","14,310",99.66K,5.57%
05/29/2023,"15,200","14,880","15,470","14,860",398.66K,1.47%
05/30/2023,"14,700","15,180","15,180","14,690",558.81K,-3.29%
05/31/2023,"15,440","15,070","15,440","15,000",1.97M,5.03%
06/01/2023,"14,640","14,550","14,870","14,550",696.87K,-5.18%
06/04/2023,"14,320","14,490","14,490","14,140",94.74K,-2.19%
06/05/2023,"14,300","14,320","14,460","14,220",184.28K,-0.14%
06/06/2023,"14,110","14,370","14,530","14,000",170.56K,-1.33%
06/07/2023,"14,080","14,000","14,120","13,820",285.44K,-0.21%
06/08/2023,"14,140","14,130","14,520","14,080",222.97K,0.43%
06/11/2023,"14,110","14,140","14,230","14,050",32.00K,-0.21%
06/12/2023,"14,110","14,150","14,230","14,010",102.02K,0.00%
06/13/2023,"14,270","14,230","14,350","14,140",336.25K,1.13%
06/14/2023,"14,700","14,270","14,760","14,270",181.36K,3.01%
06/15/2023,"14,710","14,800","14,830","14,670",306.18K,0.07%
06/18/2023,"14,520","14,790","14,790","14,450",61.07K,-1.29%
06/19/2023,"14,790","14,650","14,870","14,560",99.05K,1.86%
06/20/2023,"14,770","14,790","14,940","14,660",186.49K,-0.14%
06/21/2023,"14,440","14,850","14,850","14,410",104.33K,-2.23%
06/22/2023,"14,150","14,010","14,200","13,960",222.66K,-2.01%
06/25/2023,"13,940","14,000","14,140","13,860",47.67K,-1.48%
06/26/2023,"14,000","13,940","14,190","13,900",117.82K,0.43%
06/27/2023,"13,840","14,010","14,080","13,760",157.61K,-1.14%
06/28/2023,"13,590","13,860","13,900","13,510",213.59K,-1.81%
06/29/2023,"13,670","13,600","13,870","13,600",498.19K,0.59%
07/02/2023,"14,090","13,880","14,090","13,710",47.29K,3.07%
07/03/2023,"13,800","14,090","14,120","13,720",126.03K,-2.06%
07/04/2023,"14,000","13,900","14,000","13,810",35.75K,1.45%
07/05/2023,"13,490","13,980","13,980","13,450",141.14K,-3.64%
07/06/2023,"13,340","13,450","13,510","13,200",146.01K,-1.11%
07/09/2023,"13,090","13,200","13,240","13,050",57.96K,-1.87%
07/10/2023,"13,120","12,970","13,200","12,970",97.12K,0.23%
07/11/2023,"13,400","12,970","13,540","12,970",184.91K,2.13%
07/12/2023,"13,570","13,490","13,610","13,330",151.52K,1.27%
07/13/2023,"13,560","13,700","13,760","13,460",208.65K,-0.07%
07/16/2023,"13,600","13,650","13,750","13,340",24.62K,0.29%
07/17/2023,"13,740","13,550","13,920","13,550",118.37K,1.03%
07/18/2023,"13,790","13,950","14,040","13,760",107.06K,0.36%
07/19/2023,"13,450","13,750","13,910","13,450",314.41K,-2.47%
07/20/2023,"13,360","13,610","13,750","13,340",251.78K,-0.67%
07/23/2023,"13,300","13,280","13,450","13,140",133.37K,-0.45%
07/24/2023,"13,220","13,300","13,400","13,200",215.16K,-0.60%
07/25/2023,"13,180","12,850","13,180","12,840",258.37K,-0.30%
07/26/2023,"13,760","13,400","15,300","13,100",1.73M,4.40%
07/30/2023,"13,890","13,820","14,000","13,750",159.85K,0.94%
07/31/2023,"13,630","13,830","13,840","13,440",434.32K,-1.87%
08/01/2023,"13,650","13,860","14,010","13,650",368.85K,0.15%
08/02/2023,"13,700","13,650","13,930","13,620",207.47K,0.37%
08/03/2023,"13,700","13,700","13,770","13,550",337.27K,0.00%
08/06/2023,"13,600","13,430","13,630","13,410",56.81K,-0.73%
08/07/2023,"13,370","13,600","13,700","13,370",187.94K,-1.69%
08/08/2023,"13,320","13,410","13,870","13,300",376.52K,-0.37%
08/09/2023,"13,210","13,550","13,610","13,080",288.37K,-0.83%
08/10/2023,"12,900","13,000","13,250","12,820",265.41K,-2.35%
08/13/2023,"12,680","12,810","12,960","12,680",137.67K,-1.71%
08/14/2023,"12,460","12,610","13,980","12,380",508.85K,-1.74%
08/15/2023,"12,580","12,760","12,930","12,200",686.11K,0.96%
08/16/2023,"11,600","11,450","11,800","11,100",2.02M,-7.79%
08/17/2023,"11,460","11,390","11,570","11,300",514.37K,-1.21%
08/20/2023,"11,630","11,600","11,760","11,550",136.81K,1.48%
08/21/2023,"11,670","11,750","11,980","11,610",543.60K,0.34%
08/22/2023,"11,550","11,700","11,770","11,550",483.68K,-1.03%
08/23/2023,"11,130","11,500","11,510","11,040",582.88K,-3.64%
08/24/2023,"11,030","11,230","11,330","10,950",973.19K,-0.90%
08/27/2023,"10,810","10,820","10,920","10,800",143.76K,-1.99%
08/28/2023,"10,670","10,770","10,910","10,630",510.98K,-1.30%
08/29/2023,"10,730","10,580","10,760","10,280",763.44K,0.56%
08/30/2023,"10,870","10,730","10,870","10,670",485.27K,1.30%
08/31/2023,"11,110","10,920","11,420","10,920",7.93M,2.21%
09/03/2023,"11,370","11,320","11,390","11,310",115.68K,2.34%
09/04/2023,"11,390","11,380","11,450","11,370",226.83K,0.18%
09/05/2023,"11,380","11,380","11,760","11,250",946.66K,-0.09%
09/06/2023,"11,210","11,180","11,300","11,040",632.45K,-1.49%
09/07/2023,"10,980","11,080","11,350","10,920",593.02K,-2.05%
09/10/2023,"10,800","10,830","10,850","10,770",68.99K,-1.64%
09/11/2023,"10,720","10,800","10,930","10,720",180.74K,-0.74%
09/12/2023,"10,740","10,780","10,840","10,630",240.19K,0.19%
09/13/2023,"10,740","10,650","10,770","10,650",213.20K,0.00%
09/14/2023,"10,750","10,800","10,940","10,750",310.37K,0.09%
09/18/2023,"10,200","10,310","10,330","10,040",546.83K,-5.12%
09/19/2023,"10,090","10,240","10,250","10,020",380.34K,-1.08%
09/20/2023,"10,140","10,120","10,210","10,070",136.22K,0.50%
09/21/2023,"9,705","9,890","9,935","9,675",613.31K,-4.29%
09/26/2023,"9,499","9,540","9,619","9,442",337.49K,-2.12%
09/27/2023,"9,466","9,400","9,466","9,372",220.87K,-0.35%
09/28/2023,"9,321","9,395","9,436","9,321",503.95K,-1.53%
10/01/2023,"9,413","9,349","9,449","9,349",43.08K,0.99%
10/02/2023,"9,532","9,485","9,539","9,456",144.38K,1.26%
10/03/2023,"9,292","9,440","9,449","9,292",176.81K,-2.52%
10/04/2023,"9,155","9,170","9,210","9,102",169.00K,-1.47%
10/05/2023,"9,311","9,230","9,311","9,220",190.82K,1.70%
10/08/2023,"9,140","9,201","9,299","9,011",329.84K,-1.84%
10/09/2023,"8,990","9,220","9,345","8,990",501.79K,-1.64%
10/10/2023,"9,305","9,098","9,305","9,001",255.20K,3.50%
10/11/2023,"9,177","9,300","9,300","9,053",201.49K,-1.38%
10/12/2023,"8,945","9,090","9,095","8,850",197.14K,-2.53%
10/15/2023,"8,510","8,700","8,759","8,460",194.74K,-4.86%
10/16/2023,"8,846","8,510","8,854","8,510",437.24K,3.95%
10/17/2023,"8,757","8,820","8,888","8,591",420.54K,-1.01%
10/18/2023,"8,847","8,757","8,888","8,650",238.77K,1.03%
10/19/2023,"8,977","9,000","9,300","8,848",453.47K,1.47%
10/22/2023,"8,876","8,849","8,901","8,718",88.87K,-1.13%
10/23/2023,"9,265","9,010","9,490","8,877",743.52K,4.38%
10/24/2023,"9,283","9,307","9,388","9,181",352.49K,0.19%
10/25/2023,"9,411","9,299","9,541","9,299",220.86K,1.38%
10/26/2023,"9,674","9,500","9,694","9,446",630.56K,2.79%
10/29/2023,"9,579","9,505","9,587","9,500",100.98K,-0.98%
10/30/2023,"9,274","9,579","9,580","9,170",258.14K,-3.18%
10/31/2023,"9,359","9,340","9,359","9,166",311.54K,0.92%
11/01/2023,"9,135","9,333","9,335","9,135",180.55K,-2.39%
11/02/2023,"9,110","9,230","9,319","9,110",1.76M,-0.27%
11/05/2023,"9,370","9,420","9,420","9,308",119.69K,2.85%
11/06/2023,"9,418","9,390","9,420","9,351",183.81K,0.51%
11/07/2023,"9,397","9,409","9,409","9,258",228.64K,-0.22%
11/08/2023,"9,264","9,397","9,412","9,207",172.01K,-1.42%
11/09/2023,"9,452","9,440","9,500","9,381",188.03K,2.03%
11/12/2023,"9,428","9,480","9,520","9,403",76.67K,-0.25%
11/13/2023,"9,388","9,425","9,459","8,650",725.03K,-0.42%
11/14/2023,"10,010","9,820","10,100","9,785",509.44K,6.63%
11/15/2023,"10,440","10,120","10,440","10,100",440.87K,4.30%
11/16/2023,"10,080","10,430","10,430","10,040",400.64K,-3.45%
11/19/2023,"10,090","10,170","10,270","10,090",53.74K,0.10%
11/20/2023,"10,320","10,090","10,410","10,090",185.96K,2.28%
11/21/2023,"10,260","10,310","10,410","10,220",185.62K,-0.58%
11/22/2023,"10,440","10,200","10,450","10,170",273.74K,1.75%
11/23/2023,"10,440","10,490","10,500","10,400",334.81K,0.00%
11/26/2023,"10,480","10,440","10,530","10,410",47.14K,0.38%
11/27/2023,"10,220","10,420","10,500","10,220",82.04K,-2.48%
11/28/2023,"10,060","10,060","10,180","10,010",241.98K,-1.57%
11/29/2023,"10,310","10,060","10,390","10,050",168.95K,2.49%
11/30/2023,"10,230","10,240","10,300","10,180",280.67K,-0.78%
12/03/2023,"10,290","10,300","10,390","10,200",64.14K,0.59%
12/04/2023,"10,170","10,290","10,310","10,170",147.35K,-1.17%
12/05/2023,"10,230","10,250","10,320","10,160",150.80K,0.59%
12/06/2023,"10,380","10,250","10,390","10,090",282.54K,1.47%
12/07/2023,"10,460","10,380","10,490","10,310",178.65K,0.77%
12/10/2023,"10,420","10,460","10,530","10,370",91.96K,-0.38%
12/11/2023,"10,620","10,410","10,620","10,380",219.82K,1.92%
12/12/2023,"10,870","10,850","10,940","10,720",249.79K,2.35%
12/13/2023,"10,980","10,980","11,120","10,880",314.95K,1.01%
12/14/2023,"11,130","11,010","11,360","10,930",301.90K,1.37%
12/17/2023,"11,070","11,130","11,170","11,020",52.80K,-0.54%
12/18/2023,"11,040","11,080","11,120","10,930",234.66K,-0.27%
12/19/2023,"10,970","11,040","11,090","10,920",221.94K,-0.63%
12/20/2023,"11,040","11,150","11,220","11,030",319.42K,0.64%
12/21/2023,"11,050","10,990","11,050","10,910",172.47K,0.09%
12/24/2023,"10,870","10,950","10,950","10,810",49.58K,-1.63%
12/25/2023,"10,930","10,850","10,930","10,850",78.78K,0.55%
12/26/2023,"10,820","11,000","11,020","10,810",298.82K,-1.01%
12/27/2023,"10,990","10,820","11,000","10,800",205.23K,1.57%
12/28/2023,"11,070","11,020","11,120","11,000",472.42K,0.73%
12/31/2023,"11,090","11,050","11,090","11,000",96.24K,0.18%
01/01/2024,"11,240","11,120","11,310","11,100",198.31K,1.35%
01/02/2024,"11,070","11,200","11,260","10,960",284.45K,-1.51%
01/03/2024,"11,200","11,070","11,270","11,030",285.98K,1.17%
01/04/2024,"11,080","11,230","11,230","10,950",280.84K,-1.07%
01/07/2024,"10,870","10,900","10,930","10,840",79.30K,-1.90%
01/08/2024,"10,970","10,870","11,060","10,800",201.33K,0.92%
01/09/2024,"11,170","11,050","11,240","11,030",210.97K,1.82%
01/10/2024,"11,150","11,230","11,430","11,130",182.06K,-0.18%
01/11/2024,"11,100","11,150","11,310","10,840",241.56K,-0.45%
01/14/2024,"10,830","10,910","10,940","10,820",67.84K,-2.43%
01/15/2024,"10,910","10,940","10,940","10,830",76.20K,0.74%
01/16/2024,"10,790","10,850","11,060","10,770",353.82K,-1.10%
01/17/2024,"10,670","10,680","10,770","10,610",206.40K,-1.11%
01/18/2024,"11,050","10,920","11,170","10,890",289.65K,3.56%
01/21/2024,"11,170","11,200","11,230","11,120",42.77K,1.09%
01/22/2024,"11,480","11,200","11,480","11,200",149.40K,2.78%
01/23/2024,"11,490","11,440","11,520","11,350",225.77K,0.09%
01/24/2024,"11,150","11,380","11,400","11,150",222.52K,-2.96%
01/25/2024,"10,900","11,100","11,100","10,870",558.85K,-2.24%
01/28/2024,"10,730","10,730","10,750","10,670",69.58K,-1.56%
01/29/2024,"10,790","10,730","10,890","10,640",114.19K,0.56%
01/30/2024,"10,610","10,680","10,690","10,580",186.18K,-1.67%
01/31/2024,"10,460","10,570","10,580","10,430",181.93K,-1.41%
02/01/2024,"10,400","10,440","10,550","10,400",265.64K,-0.57%
02/04/2024,"10,520","10,470","10,520","10,420",39.65K,1.15%
02/05/2024,"10,390","10,410","10,520","10,390",88.08K,-1.24%
02/06/2024,"10,430","10,430","10,520","10,270",135.37K,0.38%
02/07/2024,"10,660","10,430","10,660","10,430",113.42K,2.21%
02/08/2024,"10,790","10,650","10,800","10,580",186.04K,1.22%
02/11/2024,"10,730","10,730","10,790","10,670",38.55K,-0.56%
02/12/2024,"11,070","10,830","11,130","10,770",255.81K,3.17%
02/13/2024,"10,600","11,050","11,070","10,530",362.27K,-4.25%
02/14/2024,"11,310","10,600","11,430","10,460",391.86K,6.70%
02/15/2024,"11,790","11,700","12,050","11,650",467.16K,4.24%
02/18/2024,"12,220","12,150","12,220","12,110",115.06K,3.65%
02/19/2024,"12,350","12,130","12,390","12,090",165.04K,1.06%
02/20/2024,"12,450","12,350","12,640","12,220",284.61K,0.81%
02/21/2024,"12,170","12,450","12,680","12,070",382.76K,-2.25%
02/22/2024,"12,390","12,450","12,800","12,390",529.79K,1.81%
02/25/2024,"12,230","12,190","12,290","12,060",120.01K,-1.29%
02/26/2024,"12,410","12,160","12,500","12,150",312.94K,1.47%
02/28/2024,"11,890","12,100","12,110","11,860",367.27K,-4.19%
02/29/2024,"11,750","11,760","11,880","11,700",312.18K,-1.18%
03/03/2024,"11,950","11,890","11,990","11,890",45.52K,1.70%
03/04/2024,"12,120","11,950","12,140","11,890",217.41K,1.42%
03/05/2024,"11,830","11,970","12,030","11,810",113.40K,-2.39%
03/06/2024,"11,860","11,870","12,050","11,820",158.28K,0.25%
03/07/2024,"11,850","11,650","11,850","11,640",219.16K,-0.08%
03/10/2024,"11,510","11,590","11,590","11,460",116.59K,-2.87%
03/11/2024,"11,500","11,500","11,590","11,280",200.66K,-0.09%
03/12/2024,"11,640","11,460","11,670","11,450",232.65K,1.22%
03/13/2024,"11,400","11,580","11,660","11,400",106.12K,-2.06%
03/14/2024,"11,150","11,320","11,350","11,110",289.81K,-2.19%
03/17/2024,"11,340","11,380","11,430","11,340",72.71K,1.70%
03/18/2024,"11,760","11,340","11,760","11,300",194.69K,3.70%
03/19/2024,"11,890","11,980","11,980","11,720",364.58K,1.11%
03/20/2024,"12,100","11,960","12,110","11,920",222.97K,1.77%
03/21/2024,"12,160","12,290","12,300","12,130",285.64K,0.50%
03/25/2024,"12,070","11,930","12,070","11,930",177.83K,-0.74%
03/26/2024,"12,070","12,090","12,160","12,040",147.18K,0.00%
03/27/2024,"12,170","12,020","12,170","12,010",120.91K,0.83%
03/28/2024,"12,040","12,280","12,280","12,020",436.92K,-1.07%
03/31/2024,"12,310","12,310","12,380","12,230",130.34K,2.24%
04/01/2024,"12,390","12,330","12,510","12,280",82.68K,0.65%
04/02/2024,"12,180","12,160","12,280","12,030",262.84K,-1.69%
04/03/2024,"12,260","12,180","12,290","12,030",214.54K,0.66%
04/04/2024,"12,200","12,050","12,270","11,990",311.28K,-0.49%
04/07/2024,"12,380","12,320","12,480","12,320",118.52K,1.48%
04/08/2024,"12,310","12,470","12,470","12,220",294.50K,-0.57%
04/09/2024,"12,690","12,350","12,790","12,350",298.32K,3.09%
04/10/2024,"12,890","12,700","12,950","12,640",164.46K,1.58%
04/11/2024,"12,370","12,640","12,770","12,370",220.26K,-4.03%
04/14/2024,"12,050","11,990","12,120","11,910",140.19K,-2.59%
04/15/2024,"11,840","12,090","12,160","11,810",222.57K,-1.74%
04/16/2024,"11,800","11,750","11,830","11,650",185.74K,-0.34%
04/17/2024,"11,970","11,950","12,050","11,840",200.29K,1.44%
04/18/2024,"11,910","12,070","12,080","11,860",226.41K,-0.50%
04/21/2024,"11,880","11,880","11,880","11,700",189.45K,-0.25%
04/24/2024,"12,030","12,130","12,170","11,940",173.73K,1.26%
04/25/2024,"12,000","12,100","12,100","11,950",341.61K,-0.25%
04/30/2024,"12,220","12,340","12,340","12,100",155.55K,1.83%
05/01/2024,"12,210","12,190","12,400","12,110",119.71K,-0.08%
05/02/2024,"12,070","12,210","12,240","12,070",249.34K,-1.15%
05/05/2024,"12,200","12,210","12,330","12,110",75.45K,1.08%
05/06/2024,"12,520","12,240","12,520","12,240",93.94K,2.62%
05/07/2024,"12,790","12,700","12,790","12,570",284.32K,2.16%
05/08/2024,"12,870","12,870","12,890","12,710",115.62K,0.63%
05/09/2024,"13,470","12,870","13,530","12,790",271.99K,4.66%
05/12/2024,"13,630","13,660","13,690","13,130",118.92K,1.19%
05/15/2024,"13,400","13,540","13,630","13,000",189.63K,-1.69%
05/16/2024,"13,500","13,400","13,600","13,300",255.78K,0.75%
05/19/2024,"13,410","13,650","13,660","13,350",108.28K,-0.67%
