Date,Price,Open,High,Low,Vol.,Change %
01/07/2025,6.390,6.490,6.520,6.360,12.08M,-3.62%
01/08/2025,6.400,6.360,6.440,6.350,7.33M,0.16%
01/10/2025,6.150,6.310,6.310,6.140,13.85M,-3.91%
01/13/2025,6.200,6.140,6.220,6.090,11.34M,0.81%
01/14/2025,6.300,6.410,6.470,6.280,9.48M,1.61%
01/15/2025,6.350,6.320,6.390,6.250,8.87M,0.79%
01/16/2025,6.210,6.390,6.420,6.210,10.72M,-2.20%
01/17/2025,6.280,6.230,6.290,6.210,10.86M,1.13%
01/21/2025,6.030,6.210,6.250,5.880,21.98M,-3.98%
01/22/2025,5.720,6.040,6.080,5.705,26.32M,-5.14%
01/23/2025,5.840,5.720,5.940,5.670,13.56M,2.10%
01/24/2025,5.690,5.790,5.825,5.685,10.41M,-2.57%
01/27/2025,5.700,5.820,5.845,5.625,23.57M,0.18%
01/28/2025,5.750,5.730,5.780,5.610,11.50M,0.88%
01/29/2025,5.740,5.780,5.780,5.660,6.70M,-0.17%
01/30/2025,5.840,5.770,5.850,5.740,9.03M,1.74%
01/31/2025,5.780,5.820,5.920,5.730,10.25M,-1.03%
02/03/2025,6.020,5.920,6.090,5.885,21.56M,4.15%
02/04/2025,6.020,6.030,6.100,5.970,18.00M,0.00%
02/05/2025,6.050,6.000,6.090,6.000,11.19M,0.50%
02/06/2025,6.040,6.010,6.040,5.964,11.78M,-0.17%
02/07/2025,6.030,6.030,6.100,5.980,13.88M,-0.17%
