"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2025","4.50","4.41","4.70","4.32","751.71K","-2.68%"
"02/06/2025","4.63","4.64","4.85","4.53","276.86K","0.70%"
"02/05/2025","4.60","4.80","4.96","4.57","424.02K","-6.70%"
"02/04/2025","4.93","4.99","5.05","4.84","145.23K","1.95%"
"02/03/2025","4.83","4.78","4.87","4.76","176.98K","-3.24%"
"01/31/2025","4.99","4.82","5.02","4.80","222.91K","3.78%"
"01/30/2025","4.81","4.81","4.91","4.74","371.61K","0.29%"
"01/29/2025","4.80","5.05","5.07","4.78","229.97K","-2.84%"
"01/28/2025","4.94","4.98","5.08","4.93","119.02K","-0.88%"
"01/27/2025","4.98","4.96","5.03","4.84","169.93K","-1.05%"
"01/24/2025","5.03","5.03","5.18","5.00","144.05K","1.06%"
"01/23/2025","4.98","5.14","5.14","4.96","156.30K","-3.54%"
"01/22/2025","5.16","5.16","5.22","5.10","136.66K","0.19%"
"01/21/2025","5.16","5.09","5.18","5.05","138.34K","0.39%"
"01/20/2025","5.14","5.11","5.16","5.04","100.67K","1.58%"
"01/17/2025","5.05","4.93","5.07","4.91","148.23K","2.33%"
"01/16/2025","4.94","5.08","5.11","4.84","177.55K","-0.80%"
"01/15/2025","4.98","4.90","4.98","4.83","317.29K","2.47%"
"01/14/2025","4.86","5.04","5.05","4.86","196.22K","-2.57%"
"01/13/2025","4.99","5.02","5.03","4.91","202.10K","-1.71%"
"01/10/2025","5.07","5.12","5.18","5.04","143.46K","-0.88%"
"01/09/2025","5.12","4.93","5.12","4.89","167.71K","3.35%"
"01/08/2025","4.95","5.20","5.21","4.93","431.99K","-5.10%"
"01/07/2025","5.22","5.09","5.31","5.02","346.85K","3.37%"
"01/06/2025","5.05","4.87","5.06","4.87","816.55K","5.56%"
"01/03/2025","4.78","4.94","4.94","4.78","161.29K","-3.47%"
"01/02/2025","4.96","4.95","5.06","4.92","135.56K","-1.37%"
"12/31/2024","5.03","4.97","5.05","4.93","69.77K","1.11%"
"12/30/2024","4.97","5.01","5.03","4.95","167.93K","-1.19%"
"12/27/2024","5.03","4.97","5.09","4.97","287.67K","2.44%"
"12/24/2024","4.91","4.90","4.95","4.89","71.93K","0.90%"
"12/23/2024","4.87","4.74","4.87","4.71","142.34K","2.70%"
"12/20/2024","4.74","4.76","4.76","4.65","260.65K","-1.13%"
"12/19/2024","4.79","4.87","4.88","4.75","258.08K","-4.16%"
"12/18/2024","5.00","4.95","5.01","4.85","335.95K","1.09%"
"12/17/2024","4.95","4.97","5.02","4.87","243.47K","-0.88%"
"12/16/2024","4.99","4.99","5.01","4.88","178.92K","0.40%"
"12/13/2024","4.97","4.95","5.05","4.93","211.34K","0.57%"
"12/12/2024","4.94","5.01","5.05","4.87","260.44K","-1.08%"
"12/11/2024","5.00","5.09","5.14","4.96","294.91K","0.12%"
"12/10/2024","4.99","5.07","5.10","4.98","196.74K","-1.87%"
"12/09/2024","5.09","5.05","5.14","4.96","368.88K","1.86%"
"12/06/2024","4.99","4.88","5.00","4.83","344.20K","2.38%"
"12/05/2024","4.88","4.63","4.88","4.63","469.00K","6.32%"
"12/04/2024","4.59","4.39","4.61","4.35","493.89K","8.06%"
